week,geohash7,kecamatan,kabupaten,region,kab_type,six_cities,CityType,avg_rsrp,total_call_count,total_tiles,bad_tiles_rsrp,total_payload_covmo_kB,bad_rsrp_tile_payload_covmo_kB,total_subscriber_count,bad_rsrp_tile_subscriber_count,koeff,total_payload_covmo_MB,bad_rsrp_tile_payload_covmo_MB,total_payload_covmo_normalize_MB,bad_rsrp_tile_payload_covmo_normalize_MB,thd_subs,thd_luas,luas_m2,bad_tile_abv_thd,subs_abv_thd,luas_abv_thd,bad_tiles_n_subs_abv_thd,bad_tiles_n_subs_n_luas_abv_thd,bad_grid,more_than_3_wks,cluster_member,cluster_member_reg,forming_cluster,cluster_id,red_cov,latitude_geohash7,longitude_geohash7,nearest_site_1,latitude_site_1,longitude_site_1,ant_height_site_1,nearest_site_2,latitude_site_2,longitude_site_2,ant_height_site_2,nearest_site_3,latitude_site_3,longitude_site_3,ant_height_site_3,distance_to_site_1,bearing_to_site_1,distance_to_site_2,bearing_to_site_2,distance_to_site_3,bearing_to_site_3,lowest_band_1,lowest_band_2,lowest_band_3,delta_1,azimuth_1,lac_enodeb_1,ci_1,sector_1,delta_2,azimuth_2,lac_enodeb_2,ci_2,sector_2,delta_3,azimuth_3,lac_enodeb_3,ci_3,sector_3,elev_geohash7,elev_site_1,elev_site_2,elev_site_3,total_height_site_1,total_height_site_2,total_height_site_3,max_intermediate_elev_site_1,max_intermediate_elev_site_2,max_intermediate_elev_site_3,site_higher_1,site_higher_2,site_higher_3,site_higher_than_max_intermediate_1,site_higher_than_max_intermediate_2,site_higher_than_max_intermediate_3,no_blocking_1,no_blocking_2,no_blocking_3,clutter,distance_thd_1,distance_thd_2,distance_thd_3,Distance Thd L900,index_SD_1,index_bw_1,distance_cat_1,score_1,index_SD_2,index_bw_2,distance_cat_2,score_2,index_SD_3,index_bw_3,distance_cat_3,score_3,rank_1,rank_2,rank_3,solution_1,solution_2,solution_3,best serving no,solution rank1,rank1 site,rank1 CI,Solution Priority,Priority No.,prio_site,prio_EnodeB,prio_CI,prio_sector,red_cov_category
202624,qqwxbvw,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-103.909,21633.9,16,8,12075900,5564000,2197.86,998,0.895055,11792.9,5433.6,10555.3,4863.37,3000,8000,8176.65,1,0,1,0,0,0,0,,,,,0,-7.0443,110.433,SMG622,-7.0438,110.432,15,SMG523,-7.04861,110.429,18,SMG067,-7.03995,110.428,6,123.353,116.512,610.663,38.4433,723.434,131.802,LTE1800,LTE1800,LTE900,53.4879,170,196622,21,2,51.5567,90,196523,11,1,41.8023,90,196067,112,7,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,762.418,762.418,909.809,1311.49,0.808961,6,0 to half_thd,2.36627,4.00478,6,half_thd to thd,4.60334,3.97574,6,half_thd to thd,4.58302,1,3,2,not BS,not BS,not BS,1,not BS,SMG622,21,not BS,1,SMG622,196622,21,2,BAD NON POTENTIAL
202624,qqwxby4,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-106.637,12396.1,16,12,6124400,3870770,1642.29,1111.71,0.895055,5980.85,3780.04,5353.19,3383.35,3000,8000,4688.33,1,0,0,0,0,0,0,,,,,0,-7.04155,110.427,SMG067,-7.03995,110.428,6,SMG622,-7.0438,110.432,15,SMG004,-7.04547,110.424,92,188.63,200.372,555.327,296.789,559.55,38.9899,LTE900,LTE1800,LTE1800,20.3718,180,196067,22,2,21.7892,275,196622,31,3,51.0101,90,196004,11,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,909.809,762.418,1031.44,1311.49,1.03665,3.39531,0 to half_thd,1.74424,3.64188,3.63153,half_thd to thd,3.63878,2.71247,6,half_thd to thd,3.69873,1,2,3,not BS,not BS,not BS,1,not BS,SMG067,22,not BS,1,SMG067,196067,22,2,BAD NON POTENTIAL
202624,qqwx84x,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-105.556,7561.43,16,10,1123790,646170,827.714,513.857,0.895055,1097.45,631.026,982.278,564.803,3000,8000,6592.2,1,0,0,0,0,0,0,,,,,0,-7.10472,110.401,UNR716,-7.11072,110.407,50,SMG040,-7.10298,110.412,70,SMG086,-7.09409,110.407,70,928.888,315.768,1284.26,261.3,1353.55,209.53,LTE900,LTE900,LTE1800,9.23169,325,195716,32,3,18.7,280,196040,32,3,9.53003,200,196086,31,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,1274.97,1311.49,1031.44,1311.49,3.64278,1.53862,half_thd to thd,3.01153,4.89619,3.11666,half_thd to thd,4.36233,6,1.58834,more than thd,4.6765,1,2,3,not BS,not BS,not BS,1,not BS,UNR716,32,not BS,1,UNR716,195716,32,3,BAD NON POTENTIAL
202624,qqwx84z,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-106.68,6859.57,16,15,1565270,1471890,1051.43,1006.71,0.895055,1528.59,1437.39,1368.17,1286.54,3000,8000,836.368,1,0,0,0,0,0,0,,,,,0,-7.10335,110.401,UNR716,-7.11072,110.407,50,SMG086,-7.09409,110.407,70,SMG040,-7.10298,110.412,70,1042.79,321.614,1223.93,213.043,1270.34,268.132,LTE900,LTE1800,LTE900,3.38579,325,195716,32,3,13.0434,200,196086,31,3,11.8678,280,196040,32,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,1274.97,1031.44,1311.49,1311.49,4.08947,0.564299,half_thd to thd,3.03192,6,2.17391,more than thd,4.85217,4.84313,1.97796,half_thd to thd,3.98358,1,3,2,not BS,not BS,not BS,1,not BS,UNR716,32,not BS,1,UNR716,195716,32,3,BAD NON POTENTIAL
202624,qqwx863,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-105.19,23993.3,16,10,33503300,22420400,1484.71,935.571,0.895055,32718,21894.9,29284.4,19597.2,3000,8000,418.922,1,0,0,0,0,0,0,,,,,0,-7.10609,110.404,UNR716,-7.11072,110.407,50,SMG040,-7.10298,110.412,70,UNR728,-7.11795,110.403,30,617.992,326.046,1025.95,250.237,1314.04,3.78911,LTE900,LTE900,LTE900,1.046,325,195716,32,3,29.7627,280,196040,32,3,43.7891,320,195728,32,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,1274.97,1311.49,1092.39,1311.49,2.42355,0.174333,0 to half_thd,1.74879,3.91141,4.96044,half_thd to thd,4.22612,6,6,more than thd,6,1,2,3,not BS,not BS,not BS,1,not BS,UNR716,32,not BS,1,UNR716,195716,32,3,BAD NON POTENTIAL
202624,qqwx868,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-107.134,15589.6,16,13,3957970,2460950,1666.14,1413.86,0.895055,3865.21,2403.27,3459.57,2151.06,3000,8000,7988.98,1,0,0,0,0,0,0,,,,,0,-7.10472,110.402,UNR716,-7.11072,110.407,50,SMG040,-7.10298,110.412,70,SMG086,-7.09409,110.407,70,829.809,323.264,1134.5,260.141,1285.17,203.667,LTE900,LTE900,LTE1800,1.73641,325,195716,32,3,19.8585,280,196040,32,3,3.66749,200,196086,31,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,1274.97,1311.49,1031.44,1311.49,3.25423,0.289402,half_thd to thd,2.36478,4.32525,3.30976,half_thd to thd,4.0206,6,0.611248,more than thd,4.38337,1,2,3,not BS,not BS,not BS,1,not BS,UNR716,32,not BS,1,UNR716,195716,32,3,BAD NON POTENTIAL
202624,qqwx87c,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-105.153,14544.3,16,10,4326210,1426920,1136.86,690.571,0.895055,4224.81,1393.48,3781.44,1247.24,3000,8000,963.103,1,0,0,0,0,0,0,,,,,0,-7.09785,110.404,SMG086,-7.09409,110.407,70,SMG040,-7.10298,110.412,70,UNR716,-7.11072,110.407,50,555.128,221.206,1120.02,300.542,1464.44,346.391,LTE1800,LTE900,LTE900,21.2062,200,196086,31,3,20.542,280,196040,32,3,21.3907,325,195716,32,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,1031.44,1311.49,1274.97,1311.49,2.69103,3.53436,half_thd to thd,2.94403,4.27005,3.42366,half_thd to thd,4.01614,6,3.56511,more than thd,5.26953,1,2,3,not BS,not BS,not BS,1,not BS,SMG086,31,not BS,1,SMG086,196086,31,3,BAD NON POTENTIAL
202624,qqwx8gx,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-107.803,197.021,16,12,81275.3,50786.2,47.05,33.0786,0.895055,79.3704,49.5959,71.0408,44.3911,3000,8000,58.1342,1,0,0,0,0,0,0,,,,,0,-7.09923,110.434,SMG554,-7.09339,110.423,18,SMG012,-7.08595,110.431,61,UNR047,-7.09512,110.449,69,1380.85,118.018,1493.23,169.609,1761.35,254.942,LTE900,LTE900,LTE900,1.98233,120,196554,22,2,89.6087,80,196012,12,1,34.9423,220,195047,32,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,946.326,1274.97,1311.49,1311.49,6,0.330389,more than thd,4.29912,6,6,more than thd,6,6,6,more than thd,6,1,2,3,not BS,not BS,not BS,1,not BS,SMG554,22,not BS,1,SMG554,196554,22,2,BAD NON POTENTIAL
202624,qqwx8gy,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-104.75,384.376,16,5,41463.5,5436.2,57.2381,16,0.895055,40.4917,5.30879,36.2423,4.75166,3000,8000,65.2339,1,0,0,0,0,0,0,,,,,0,-7.09785,110.433,SMG554,-7.09339,110.423,18,SMG012,-7.08595,110.431,61,SMG141,-7.09571,110.418,66,1177.46,114.92,1321.94,174.854,1627.78,98.4377,LTE900,LTE900,LTE1800,5.08012,120,196554,22,2,85.146,260,196012,22,2,58.4377,40,196141,11,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,946.326,1274.97,1031.44,1311.49,6,0.846686,more than thd,4.45401,6,6,more than thd,6,6,6,more than thd,6,1,2,3,not BS,not BS,not BS,1,not BS,SMG554,22,not BS,1,SMG554,196554,22,2,BAD NON POTENTIAL
202624,qqwx8r9,BANYUMANIK,KOTA SEMARANG,JATENG-DIY,A,NO,Inner,-105.754,1634,16,12,440583,423065,395.286,321.286,0.895055,430.257,413.15,385.103,369.792,3000,8000,28.6206,1,0,0,0,0,0,0,,,,,0,-7.07726,110.404,SMG789,-7.08511,110.408,15,SMG302,-7.08002,110.412,38,SMG504,-7.07274,110.413,41,976.051,333.024,1009.53,287.739,1164.14,244.44,LTE1800,LTE1800,LTE900,26.976,0,196789,11,1,27.2607,315,196302,31,3,4.4397,240,196504,22,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,SU,762.418,870.027,1165.42,1311.49,6,4.496,more than thd,5.5488,6,4.54345,more than thd,5.56304,4.99448,0.739951,half_thd to thd,3.71812,2,3,1,not BS,not BS,not BS,3,not BS,SMG504,22,not BS,1,SMG789,196789,11,1,BAD NON POTENTIAL
